method,budget,total_tokens,budget_usage_ratio,total_relevance,selected_count,avg_pairwise_redundancy,runtime_ms
topk,500,486,0.972,6.0,6,0.10098835086931743,0.057199998991563916
greedy-density,500,477,0.954,10.294,11,0.08168768078217324,0.0594000011915341
dp,500,493,0.986,10.325,11,0.07902002782031256,14.342500013299286
redundancy-aware,500,477,0.954,10.275,11,0.07627781955183136,157.06759999739006
topk,1000,980,0.98,14.0,14,0.07445719893462989,0.052499992307275534
greedy-density,1000,999,0.999,17.058,22,0.13541991258459488,0.05059999239165336
dp,1000,999,0.999,17.058,22,0.13541991258459488,31.232199995429255
redundancy-aware,1000,989,0.989,16.769,19,0.07974449553797525,618.6761999997543
topk,1500,1497,0.998,19.187,20,0.0772010057324418,0.056500008213333786
greedy-density,1500,1496,0.9973333333333333,21.121,29,0.11539210228789169,0.06659999780822545
dp,1500,1496,0.9973333333333333,21.121,29,0.11539210228789169,56.452000004355796
redundancy-aware,1500,1491,0.994,20.462,22,0.07668331599740766,1050.9141000075033
topk,2000,1980,0.99,23.0,23,0.07381929551740846,0.05849999433849007
greedy-density,2000,1984,0.992,24.446,33,0.10368633869784645,0.0678000069456175
dp,2000,1984,0.992,24.446,33,0.10368633869784645,69.17039999098051
redundancy-aware,2000,1971,0.9855,23.568,28,0.07642047399694288,2177.2117000073195
topk,3000,2998,0.9993333333333333,26.414,31,0.07238588437401675,0.09699999645818025
greedy-density,3000,2976,0.992,29.601,44,0.08743402528711704,0.0872999953571707
dp,3000,2999,0.9996666666666667,29.676,45,0.08709218968423131,129.2952000076184
redundancy-aware,3000,2998,0.9993333333333333,28.308,40,0.08049587791615906,3765.604899992468
